Date,Close,High,Low,Open,Volume
2020-01-01,1690.746337890625,1699.5622222324093,1681.3176830616658,1687.917741441937,397285
2020-01-02,1688.34228515625,1697.0637918296748,1681.5065096554576,1688.6722650922814,411266
2020-01-03,1651.334716796875,1678.1121209416021,1647.2332747492876,1678.1121209416021,1318628
2020-01-06,1609.613037109375,1638.7004179414575,1597.214331411294,1638.65322862295,1871804
2020-01-07,1625.8775634765625,1641.0576775493344,1613.2431406417186,1613.2431406417186,1033650
2020-01-08,1630.026123046875,1636.814709443997,1598.157219186391,1599.1000848024303,1006057
2020-01-09,1671.2764892578125,1673.5864639725414,1641.529033113349,1662.2720766104735,1781733
2020-01-10,1690.1336669921875,1694.6122782998389,1659.4433476771876,1670.757734138623,1256612
2020-01-13,1701.778076171875,1704.6537470789438,1691.8307984526705,1696.2151463359191,823821
2020-01-14,1715.214111328125,1717.571275509623,1701.684011945507,1701.872539041664,775629
2020-01-15,1736.993896484375,1739.5867765035537,1706.6807488773454,1713.6579763117663,1252925
2020-01-16,1730.2998046875,1742.415604459067,1724.2654419126184,1731.0540280994248,1031569
2020-01-17,1725.4912109375,1733.8355483507446,1711.3010378360927,1730.7240458799565,862204
2020-01-20,1743.122802734375,1755.851488514991,1728.8383656725034,1732.9869973905509,1091453
2020-01-21,1707.2938232421875,1737.2769942724556,1691.3593721612701,1734.8254517247035,2101561
2020-01-22,1677.593505859375,1714.7895052368694,1665.9019501873058,1711.3009487900888,3415306
2020-01-23,1674.623291015625,1686.7862782547486,1656.708847590896,1677.3576238206806,1885275
2020-01-24,1684.712158203125,1697.0636735034898,1678.5363430049983,1681.7421087941336,1195596
2020-01-27,1686.173583984375,1702.5794675799852,1678.300679657967,1684.9007385105544,969054
2020-01-28,1677.4520263671875,1691.5007456574333,1671.7005697049215,1691.5007456574333,873291
2020-01-29,1694.2822265625,1700.788021963184,1679.2435668783926,1684.9007602536144,873805
2020-01-30,1701.872314453125,1705.54951311018,1683.957869037829,1697.1579867122575,1005975
2020-01-31,1693.056640625,1719.786857412645,1686.5036556359817,1706.5867389895218,1169614
2020-02-03,1760.9429931640625,1765.8930376548722,1664.1578145293377,1667.7407499134267,2854532
2020-02-04,1783.2415771484375,1788.3801481166656,1749.0627025633687,1763.1584958366493,1830049
2020-02-05,1766.45849609375,1782.015776683847,1759.5284577591565,1781.0729111935382,1344016
2020-02-06,1750.7127685546875,1774.8501031919172,1739.586909221581,1770.701471825544,995386
2020-02-07,1752.50439453125,1769.287449684661,1744.8672055374043,1750.7130418147974,632858
2020-02-10,1762.6873779296875,1765.7516913708598,1732.2327706144436,1760.3302137441704,747711
2020-02-11,1770.7960205078125,1786.2590407656091,1765.7517121107387,1772.587488329029,1093021
2020-02-12,1785.50439453125,1807.1903015561752,1770.889978927496,1772.5871829069326,1616826
2020-02-13,1766.9775390625,1793.283400431715,1761.3203447730496,1781.073335462016,638878
2020-02-14,1769.8060302734375,1791.1147711357262,1763.158781342847,1769.2874081229156,771464
2020-02-17,1773.9075927734375,1785.316244992921,1763.724596935271,1772.4932941901318,676579
2020-02-18,1757.1715087890625,1772.4930748791332,1754.6728919151942,1772.4930748791332,683421
2020-02-19,1777.2071533203125,1784.6086242651998,1745.5739706584764,1763.252698279648,723351
2020-02-20,1736.993896484375,1778.244260425855,1733.976773045865,1775.4156640412964,1401879
2020-02-24,1715.0252685546875,1747.1298869902485,1710.3581300595308,1739.8226788822212,1310832
2020-02-25,1721.7667236328125,1738.2197962110067,1716.2037939791421,1733.3640157057885,897257
2020-02-26,1722.2857666015625,1739.5873303093033,1716.0156862671718,1721.6728808372834,1909619
2020-02-27,1738.4556884765625,1746.187140576825,1707.0110277506851,1725.3026439270957,1643273
2020-02-28,1695.2249755859375,1736.8525103294187,1681.2706352772243,1716.0152058490007,2964119
2020-03-02,1684.712158203125,1732.4682047435763,1668.164822278665,1711.3951833778858,1219296
2020-03-03,1704.4971923828125,1721.0162515442262,1672.7369177550318,1685.090793506764,1392463
2020-03-04,1749.36865234375,1758.3618624611165,1707.8106475112018,1707.8106475112018,3050469
2020-03-05,1774.455078125,1781.6023601715451,1753.2973898924374,1755.0960551317983,2062439
2020-03-06,1777.294921875,1783.874234347372,1737.1095190073909,1741.8427874515526,1393659
2020-03-09,1767.5445556640625,1813.6939255389677,1749.416113411795,1787.282263052743,3420741
2020-03-11,1782.406982421875,1803.375386005997,1752.7294105984793,1774.9283947173255,3194186
2020-03-12,1745.0140380859375,1774.7863656598174,1718.1764293669912,1765.4617344642627,6254349
2020-03-13,1701.79931640625,1745.3927656718472,1580.7696635362745,1689.776860596202,3878300
2020-03-16,1593.596923828125,1682.2036904913582,1588.626991709341,1682.2036904913582,2867336
2020-03-17,1639.2254638671875,1684.854239873679,1580.9116211911978,1608.3645774873323,2643189
2020-03-18,1531.8751220703125,1664.738074404509,1522.219299602136,1639.604369969465,3676437
2020-03-19,1515.78173828125,1565.7177170050923,1354.850622014839,1457.8465826486636,4906644
2020-03-20,1649.9700927734375,1663.6493086751705,1486.767080160829,1524.1125240453205,3128629
2020-03-23,1418.51318359375,1561.978597349377,1411.2239963627778,1494.3875003887777,2155326
