Date,Close,High,Low,Open,Volume
2020-01-01,21967.00390625,22150.215862216606,21630.966562583904,21732.322382568924,16716
2020-01-02,21952.900390625,22196.7491167175,21778.8556891773,21985.475602125905,17276
2020-01-03,21668.986328125,22002.97681700453,21597.60079649034,21890.545059133292,14078
2020-01-06,21321.03515625,21651.90625107207,21049.1720970348,21651.90625107207,21088
2020-01-07,21249.13671875,21569.444496485918,21052.42933282689,21322.803599330844,25378
2020-01-08,21249.6484375,21406.567521070087,20894.67134121841,21110.645720224722,38756
2020-01-09,21913.67578125,22020.84861811687,21351.66053035584,21406.57304381606,58676
2020-01-10,22083.98828125,22207.16873251646,21772.19702346591,21883.09269558064,41097
2020-01-13,21552.2734375,22150.261273184322,21416.946332601172,22150.214010040694,33606
2020-01-14,22262.4140625,22569.969894201018,21594.574906608334,21594.574906608334,58627
2020-01-15,22613.197265625,22681.652467060918,22058.117163397954,22169.756330135046,23480
2020-01-16,23708.703125,23807.824835122778,22487.180016907987,22690.867787245556,51493
2020-01-17,24063.634765625,24195.937027423908,23485.844660920186,23677.525790578307,27398
2020-01-20,23619.681640625,24560.594491849526,23461.599148925623,24208.036887637078,38562
2020-01-21,23547.171875,23826.435175342343,23417.47638927802,23619.675336225017,79781
2020-01-22,23666.54296875,23966.049510731733,23557.695948679946,23566.072432004086,16828
2020-01-23,24060.564453125,24189.421958789044,23593.760933255184,23593.760933255184,20683
2020-01-24,24398.37109375,25020.185059193576,23919.980785249456,24081.4607823795,42596
2020-01-27,24484.6015625,24885.97473546027,24248.98932940716,24383.94378756192,32530
2020-01-28,23403.37890625,24724.49086274431,23333.156790143592,24608.243539345698,43686
2020-01-29,23304.443359375,23639.548081010842,22960.8676295598,23472.763746149096,43899
2020-01-30,22733.02734375,23402.077044432288,22616.594604956565,23402.077044432288,36054
2020-01-31,22744.716796875,23024.02567867006,22448.9803333214,22877.111799048093,22781
2020-02-03,22639.44921875,22802.65068365175,21964.8168742292,21965.002291191075,31743
2020-02-04,22958.544921875,23257.7715233702,22616.505182996352,22821.26366613459,27751
2020-02-05,23004.3828125,23315.428834479564,22802.649171361525,22895.721208795654,25402
2020-02-06,22380.845703125,23172.096114251468,22247.612728224725,23119.092320135493,28943
2020-02-07,22105.4921875,22592.306202893535,22030.198364012496,22476.896877312305,16109
2020-02-10,22268.322265625,22735.822004222762,21947.316455077245,22243.285524782284,29362
2020-02-11,22451.4453125,22542.00332678303,22181.909018306924,22425.71052702105,17940
2020-02-12,22103.6328125,22607.19984157194,21971.425062615974,22607.19984157194,20229
2020-02-13,21887.09765625,22298.196069448502,21777.923442233303,22151.14226783848,34387
2020-02-14,20891.9296875,21172.960006752,20111.93866921201,21085.472282428527,262333
