Date,Close,High,Low,Open,Volume
2020-01-01,2.25,2.25,2.200000047683716,2.25,197584
2020-01-02,2.4000000953674316,2.450000047683716,2.200000047683716,2.200000047683716,1056976
2020-01-03,2.3499999046325684,2.450000047683716,2.3499999046325684,2.4000000953674316,361537
2020-01-06,2.25,2.4000000953674316,2.200000047683716,2.4000000953674316,1247450
2020-01-07,2.25,2.3499999046325684,2.25,2.25,526273
2020-01-08,2.3499999046325684,2.3499999046325684,2.25,2.25,447211
2020-01-09,2.299999952316284,2.4000000953674316,2.25,2.3499999046325684,986356
2020-01-10,2.25,2.3499999046325684,2.25,2.25,328319
2020-01-13,2.3499999046325684,2.3499999046325684,2.25,2.25,376601
2020-01-14,2.299999952316284,2.3499999046325684,2.25,2.299999952316284,692315
2020-01-15,2.299999952316284,2.3499999046325684,2.25,2.299999952316284,389759
2020-01-16,2.4000000953674316,2.450000047683716,2.299999952316284,2.3499999046325684,1103904
2020-01-17,2.549999952316284,2.75,2.299999952316284,2.4000000953674316,2264667
2020-01-20,2.5999999046325684,2.799999952316284,2.5,2.549999952316284,1182263
2020-01-21,2.5999999046325684,2.75,2.5999999046325684,2.5999999046325684,635624
2020-01-22,2.5,2.700000047683716,2.450000047683716,2.5999999046325684,1329405
2020-01-23,2.5,2.5999999046325684,2.4000000953674316,2.5,1458971
2020-01-24,2.450000047683716,2.5999999046325684,2.4000000953674316,2.549999952316284,1028223
2020-01-27,2.4000000953674316,2.5,2.4000000953674316,2.5,522953
2020-01-28,2.3499999046325684,2.5,2.3499999046325684,2.4000000953674316,751447
2020-01-29,2.4000000953674316,2.5,2.3499999046325684,2.4000000953674316,584654
2020-01-30,2.4000000953674316,2.450000047683716,2.3499999046325684,2.450000047683716,600690
2020-01-31,2.4000000953674316,2.450000047683716,2.3499999046325684,2.450000047683716,359869
2020-02-03,2.299999952316284,2.3499999046325684,2.200000047683716,2.3499999046325684,759821
2020-02-04,2.75,2.75,2.25,2.25,3558586
2020-02-05,2.75,3.25,2.6500000953674316,2.9000000953674316,3458761
2020-02-06,2.549999952316284,2.799999952316284,2.5,2.700000047683716,1088213
2020-02-07,3.049999952316284,3.049999952316284,2.75,2.75,10106922
2020-02-10,3.6500000953674316,3.6500000953674316,3.299999952316284,3.5,5474815
2020-02-11,4.0,4.0,4.0,4.0,890418
2020-02-12,3.5999999046325684,4.400000095367432,3.5999999046325684,4.349999904632568,14227429
2020-02-13,3.5,3.950000047683716,3.299999952316284,3.3499999046325684,7566783
2020-02-14,3.299999952316284,3.6500000953674316,3.25,3.5,3124886
2020-02-17,3.549999952316284,3.5999999046325684,3.200000047683716,3.450000047683716,3563301
2020-02-18,3.200000047683716,3.549999952316284,3.200000047683716,3.549999952316284,2522540
2020-02-19,3.1500000953674316,3.299999952316284,3.1500000953674316,3.200000047683716,2184195
2020-02-20,3.25,3.299999952316284,3.049999952316284,3.1500000953674316,1803291
2020-02-24,3.0999999046325684,3.299999952316284,3.0999999046325684,3.299999952316284,978558
