Symbol,Company,Industry,Close,200DMA,Status,Difference %
BSE,BSE Ltd.,Financial Services,2311.21,1521.23,Above,51.93
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,2836.22,1967.22,Above,44.17
PARADEEP,Paradeep Phosphates Ltd.,Chemicals,146.72,102.23,Above,43.52
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components,10733.8,7491.95,Above,43.27
COROMANDEL,Coromandel International Ltd.,Chemicals,2405.84,1787.87,Above,34.56
GALLANTT,Gallantt Ispat Ltd.,Capital Goods,462.44,352.88,Above,31.04
CHOICEIN,Choice International Ltd.,Financial Services,651.95,497.99,Above,30.92
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,675.59,521.13,Above,29.64
NH,Narayana Hrudayalaya Ltd.,Healthcare,1776.72,1374.83,Above,29.23
CEATLTD,Ceat Ltd.,Automobile and Auto Components,3714.95,2879.16,Above,29.03
BDL,Bharat Dynamics Ltd.,Capital Goods,1563.7,1212.71,Above,28.94
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication,1748.67,1371.06,Above,27.54
KPRMILL,K.P.R. Mill Ltd.,Textiles,1176.01,929.28,Above,26.55
SOLARINDS,Solar Industries India Ltd.,Chemicals,13281.05,10515.0,Above,26.31
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,2886.44,2296.88,Above,25.67
CARTRADE,Cartrade Tech Ltd.,Consumer Services,1637.8,1305.97,Above,25.41
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components,612.82,491.77,Above,24.62
REDINGTON,Redington Ltd.,Services,249.77,200.74,Above,24.43
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,15859.4,12796.48,Above,23.94
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,545.45,441.07,Above,23.66
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,733.36,604.04,Above,21.41
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,1182.8,975.22,Above,21.28
PGEL,PG Electroplast Ltd.,Consumer Durables,881.06,731.85,Above,20.39
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,4416.69,3669.72,Above,20.35
ANURAS,Anupam Rasayan India Ltd.,Chemicals,897.16,745.72,Above,20.31
INDIGO,InterGlobe Aviation Ltd.,Services,5467.26,4567.86,Above,19.69
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,1261.3,1056.98,Above,19.33
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,892.05,748.5,Above,19.18
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,228.61,193.01,Above,18.45
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,1065.37,900.74,Above,18.28
SRF,SRF Ltd.,Chemicals,3005.01,2558.4,Above,17.46
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,895.01,764.64,Above,17.05
UPL,UPL Ltd.,Chemicals,670.71,580.59,Above,15.52
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,2047.65,1774.2,Above,15.41
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,2526.24,2194.73,Above,15.1
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,651.55,566.28,Above,15.06
